Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Encontros e Desencontros,"Bob Harris é uma estrela de cinema, que está em Tóquio para fazer um comercial de uísque. Charlotte, por sua vez, está na cidade acompanhando seu marido, um fotógrafo workaholic que a deixa sozinha o tempo todo. Sofrendo com o horário, Bob e Charlotte não conseguem dormir. Eles se encontram, por acaso, no bar de um hotel de luxo, e em pouco tempo tornam-se grandes amigos. Resolvem então partir pela cidade juntos. A eles junta-se uma jovem atriz chamada Kelly, com quem vão viver algumas aventuras pela cidade de Tóquio.",7.385,2003-09-18,"Drama, Romance, Comédia",102
Harry Potter e o Cálice de Fogo,"Quando o nome de Harry Potter emerge do Cálice de Fogo, ele se transforma em um competidor em uma extenuante batalha de magia entre três escolas de feiticeiros – o Torneio Tribruxo. Mas se Harry não se inscreveu para o tal torneio, quem o fez? Agora, Harry precisa confrontar um mortal dragão, ferozes demônios da água e um labirinto encantado aonde se deparará com Aquele-Que-Não-Deve-Ser-Nomeado. Nesta quarta adaptação da série Harry Potter, criada por J.K. Rowling, tudo está modificado, a começar pelo próprio Harry e seus inseparáveis amigos, Ron e Hermione, que deixam a infância para sempre e partem para desafios maiores do que tudo aquilo que um dia eles já imaginaram.",7.802,2005-11-16,"Aventura, Fantasia",157
Coraline e o Mundo Secreto,"Entediada em sua nova casa, a pequena Coraline descobre uma porta secreta que contém um mundo parecido com o dela, porém melhor em muitas maneiras. Coraline se encanta com a descoberta, mas logo descobre que há algo de errado quando seus pais alternativos tentam mantê-la eternamente nesse mundo paralelo.",7.892,2009-02-05,"Animação, Família, Fantasia",63
Em Nome de Deus,"Na Irlanda, jovens mulheres eram aprisionadas nos asilos de Madalena para trabalhar nas lavandarias com o objetivo de pagar seus pecados. Neste cenário, e com a liberação das mulheres se estendendo pelo mundo, quatro dessas vítimas são levadas pela Igreja Católica.",7.436,2002-08-30,"Drama, História",114
21 Gramas,"Um acidente bizarro reúne um matemático muito doente, uma mãe de luto e um ex-presidiário renascido.  Paul Rivers é um professor que lida com uma doença terminal, mas sua vida muda completamente após um acidente de carro que envolve um ex-presidiário e o marido de Cristina Peck, uma mulher que perde a família no incidente.",7.325,2003-09-06,"Drama, Crime, Thriller",124
Em Busca da Terra do Nunca,"J.M. Barrie (Johnny Depp) é um bem-sucedido autor de peças teatrais, que apesar da fama que possui está enfrentando problemas com seu trabalho mais recente, que não foi bem recebido pelo público. Em busca de inspiração para uma nova peça, Barrie a encontra ao fazer sua caminhada diária pelos jardins Kensington, em Londres. É lá que ele conhece a família Davies, formada por Sylvia (Kate Winslet), que enviuvou recentemente, e seus quatro filhos. Barrie logo se torna amigo da família, ensinando às crianças alguns truques e criando histórias fantásticas para eles, envolvendo castelos, reis, piratas, vaqueiros e naufrágios. Inspirado por esta convivência, Barrie cria seu trabalho de maior sucesso: Peter Pan.",7.321,2004-10-17,"Drama, Fantasia",106
"Adeus, Lênin!","A mãe de Alexander, fiel devota do socialismo na antiga Alemanha Oriental, tem um ataque cardíaco ao ver o filho em uma passeata contra o sistema vigente. Quando ela acorda do coma, após a queda do muro de Berlim, o médico aconselha a Alexander que ela evite emoções fortes, pois outro ataque tão cedo seria fatal. Com o peso na consciência pelo estado atual de sua mãe, Alex faz de tudo para que ela continue vivendo em uma ilusória Alemanha socialista, mudando embalagens de produtos industrializados e até mesmo inventando documentários televisivos para preencher as brechas do dia-a-dia do recente capitalismo no país.",7.543,2003-02-13,"Comédia, Drama",121
Terra de Sonhos,"Christy (Sarah Bolger) é uma garota de 11 anos cuja família se mudou recentemente, da Irlanda para os Estados Unidos. Ela vê seu novo lar como um local mágico e especial, onde sonhos podem se tornar realidade. Para seus pais a mudança é a chance de recomeçar a vida, depois da perda do filho mais novo.",7.2,2003-10-31,Drama,105
As Bicicletas de Belleville,"Quando seu neto é raptado durante o Tour de France, Madame Souza e seu amado vira-latas Bruno se juntam com as Irmãs Belleville - um grupo de senhoras cantoras e dançarinas do tempo de Fred Astaire - para resgatá-lo.",7.393,2003-06-11,"Animação, Comédia, Drama, Família",80
Adaptação.,"Charlie Kaufman (Nicolas Cage) precisa de qualquer maneira adaptar para o cinema o romance ""The Orchid Thief"", de Susan Orlean (Meryl Streep). O livro conta a história de John Laroche (Chris Cooper), um fornecedor de plantas que clona orquídeas raras para vendê-las a colecionadores. Porém, além das dificuldades naturais da adaptação de um livro em roteiro de cinema, Charlie precisa lidar também com sua baixa auto-estima, sua frustração sexual e ainda Donald, seu irmão gêmeo que vive como um parasita em sua vida e sonha em também se tornar um roteirista.",7.4,2002-12-06,"Comédia, Crime, Drama",115
Falcão Negro em Perigo,"Em outubro de 1993, durante a guerra civil da Somália, uma força de elite americana é enviada para capturar generais locais. Porém, após dois helicópteros serem derrubados, o que deveria ser uma operação simples se torna uma extensa batalha.",7.388,2001-12-28,"Ação, Guerra, História",145
Estrada para Perdição,"Ele não deveria estar lá. Mas no momento em que Michael Sullivan Jr. presencia um brutal assassinato, as vidas desse menino de 12 anos e do gangster que é seu pai são destruídas para sempre e seus destinos unidos para sempre. Agora, perseguido pela Máfia a quem devotou sua vida, Sullivan e seu filho não têm para onde fugir ou como escapar à perseguição incansável de um sádico assassino. É nessa luta feroz e instintiva pela sobrevivência e para proteger seu filho, que este gangster profissional irá descobrir a honra e a redenção.",7.357,2002-07-12,"Crime, Drama, Thriller",117
Detenção,"O desempregado Travis se inscreve em um experimento psicológico, no qual os participantes assumem as identidades dos presos e agentes penitenciários em um presídio vazio, com o pagamento de mil dólares por dia. Um dos participantes, Barris, abraça seu papel de agente penitenciário com espírito de vingança e em pouco tempo os presos se encontram à mercê de seus guardiões. Todos os indivíduos do teste descobrem como violência e crueldade podem facilmente se manifestar no comportamento humano.",6.388,2010-07-15,"Thriller, Drama",96
Billy Elliot,"Billy Elliot  é um garoto de 11 anos que vive numa pequena cidade da Inglaterra, onde o principal meio de sustento são as minas da cidade. Obrigado pelo pai a treinar boxe, Billy fica fascinado com a magia do balé, ao qual tem contato através de aulas de dança clássica que são realizadas na mesma academia onde pratica boxe. Incentivado pela professora de balé, que vê em Billy um talento nato para a dança, ele resolve então pendurar as luvas de boxe e se dedicar de corpo e alma à dança, mesmo tendo que enfrentar a contrariedade de seu irmão e seu pai à sua nova atividade.",7.594,2000-09-28,"Drama, Comédia, Música",110
"Hedwig: Rock, Amor e Traição","Hedwig é uma cantora de rock que nasceu homem, na Alemanha Oriental, e se chamava Hansel. Criado ouvindo uma rádio norte-americana, Hansel só tinha duas certezas na vida: de que seria uma estrela de rock e que um dia encontraria sua alma gêmea. Quando conhece Luther, recruta americano que promete casar-se e levá-lo para os Estados Unidos, Hansel pensa que chegou sua vez de ser feliz. Contudo, para que seu sonho se realize, é obrigado a submeter-se a uma cirurgia de troca de sexo. Hansel torna-se Hedwig, muda-se para a América e forma uma banda de rock. Mas este é apenas o primeiro capítulo de uma história ao mesmo tempo dramática e engraçada, permeada por amores arrebatadores, amargas desilusões e rock do bom.",7.428,2001-07-20,"Comédia, Música, Drama",95
O Conde de Monte Cristo,"Fernand Mondego não consegue mais suportar a inveja que possui de Edmond Dantes, por este possuir uma belíssima mulher. Influente, acaba fazendo com que Dantes, um homem pobre e honesto, seja acusado de traição e assassinato, indo parar em uma prisão ilhada e isolada do mundo. Dantes, ao longo dos anos que fica preso, vai perdendo a fé em Deus, até que encontra um padre que também estava preso e tinha um plano de fuga. Ele então escapa da prisão cheio de ódio e sedento por vingança.",7.68,2002-01-23,"Aventura, Drama, História",131
E Sua Mãe Também,"Tenoch e Julio são dois adolescentes de 17 anos que são controlados pelos seus hormônios e desejam se tornar adultos rapidamente. Em uma tarde festiva eles encontram Luisa, uma garota espanhola 11 anos mais velha que eles e que é casada com o primo de Tenoch. Eles a convidam para uma viagem à praia de Boca del Cielo, convite este inicialmente recusado e posteriormente aceito, após Luisa receber uma desagradável notícia. Porém, tanto Julio quanto Tenoch não conhecem o caminho até a praia e nem mesmo se ela realmente existe, fazendo com que os três se aventurem em uma viagem onde inocência, sexualidade e amizade irão colidir.",7.4,2001-06-08,"Drama, Romance",105
Waking Life,"Após não conseguir acordar de um sonho, um jovem passa a encontrar pessoas da vida real em seu mundo imaginário, com quem tem longas conversas sobre os vários estados da consciência humana e discussões filosóficas e religiosas.",7.5,2001-10-19,"Animação, Drama, Fantasia",97
Onze Homens e um Segredo,"Danny Ocean é um homem de ação. Apenas 24 horas após deixar a penitenciária de Nova Jersey ele já está pondo em prática seu mais novo plano: Assaltar três cassinos de Las Vegas em apenas uma noite, em meio à realização de uma luta que vale o título mundial dos peso-pesados. Para tanto, Ocean reúne uma equipe de 11 especialistas a fim de ajudá-lo em seu plano, seguindo sempre três regras básicas: Não ferir ninguém, não roubar alguém que realmente não mereça e seguir o plano como se não tivesse nada a perder.",7.447,2001-12-07,"Thriller, Crime",117
"E Aí, Meu Irmão, Cadê Você?","Ulysses Everett McGill está tendo dificuldade para se ajustar a sua pena de trabalhos forçados no Mississippi. Ele consegue fugir da cadeia junto com Delmar e o desajustado Pete. O trio prepara-se, então, para ir atrás de uma fortuna em tesouros enterrados. Sem nada a perder e ainda com as algemas, eles vivem uma incrível aventura.",7.32,2000-08-30,"Aventura, Comédia, Crime",107
Minority Report: A Nova Lei,"Não há crimes em Washington D.C. há seis anos, graças a impressionante tecnologia que identifica os assassinos antes que eles possam cometer seus crimes. Mas quando o próprio chefe da Divisão de Pré-Crime é acusado de um futuro assassinato, ele tem apenas 36 horas para descobrir quem está querendo destruí-lo ou tornar-se-á uma vítima do sistema ""perfeito"" que ele ajudou a criar.",7.348,2002-06-20,"Ficção científica, Ação, Thriller",148
"South Park: Maior, Melhor e Sem Cortes","Fama, autoridade, música, militarismo, raça, sexo e religião, esses são alguns dos ingredientes usados pelos criadores de South Park, nesse longa metragem que mergulha os Estados Unidos numa guerra com o Canadá. Tudo começa quando um grupo de estudantes de South Park, conseguem assistir um filme canadense proibido para menores. Os pais das crianças ficam chocados com o efeito que o filme causa na mente de seus inocentes filhos e exigem que uma pequena cidade serrana, no Colorado, os ouça. Talvez você possa se ofender, ou quem sabe esse filme possa fazer você rir mais do que qualquer outra comédia recente.",7.268,1999-06-30,"Animação, Comédia",81
Como Enlouquecer Seu Chefe,"Peter Gibbons (Ron Livingston) é um programador de computadores que trabalha na Initech fazendo upgrade dos softwares e sente-se muito infeliz no emprego. Mas após uma sessão de hipnose seu comportamento muda e ele passa a não cumprir horários nem fazer nada daquilo que lhe foi determinado. Porém, quanto mais se rebela mais é elogiado por especialistas em produtividade, que lhe dão uma promoção e fazem isto no mesmo período em que várias pessoas são demitidas.",7.371,1999-02-19,Comédia,89
Santos Justiceiros,"Os irmãos MacManus, dois jovens católicos, acreditam que Deus lhes confiou a missão de acabar com a Máfia Russa. Eles perseguem e massacram violentamente os membros do bando e, em vez de irem presos, acabam sendo considerados santos.",7.251,1999-01-22,"Ação, Thriller, Crime",103
Dia de Treinamento,"Jake Hoyt, um jovem policial de Los Angeles, entra para a equipe de narcóticos da polícia e recebe como oficial de treinamento e parcerio Alonzo Harris, um policial veterano e corrupto. Com o passar do dia, o jovem é exposto a todo tipo de corrupção e é ainda acusado de assassinato, acontecimentos que são orquestrados por Alonzo a fim de encobrir um engano cometido por ele junto à máfia russa, que pode fazer com que ele seja morto se não conseguir uma grande quantia de dinheiro até a meia-noite.",7.504,2001-10-05,"Ação, Crime, Drama",122
"Corra, Lola, Corra","O namorado de Lola é mensageiro de um gângster. Quando as coisas se complicam para ele, Lola tem vinte minutos para levar uma quantia de dinheiro para o outro lado da cidade, ou o namorado morre. Em sua corrida contra o relógio, Lola é constantemente atrasada por mendigos, freiras, bebês e armas. A cada passo, os segundos escapam, e as minúsculas decisões que ela toma podem fazer toda a diferença.",7.291,1998-08-20,"Ação, Drama, Thriller",82
Taste of Cherry,"Uma melancólica garota da cidade é atormentada por pesadelos após o aborto e tem um fascínio mórbido pela morte como forma de fuga. Enquanto isso, a animada streamer Abby enfrenta a impotência. Quando um encontro numa loja de conveniência os une, a dupla improvável deixa a cidade em busca de consolo. Dentro dos limites deste mundo natural, acontece uma inesperada partilha de segredos.",0.0,2022-11-25,,32
Melhor é Impossível,"Em Nova Iorque, um escritor grosseiro e sarcástico (Jack Nicholson) tem como alvos principais um artista gay (Greg Kinnear), seu vizinho, e uma garçonete (Helen Hunt) que o atende diariamente e se desdobra para cuidar do filho, que tem asma crônica. O destino vai fazer com que eles fiquem muito mais próximos do que poderiam imaginar.",7.4,1997-12-19,"Drama, Comédia, Romance",139
Round 6: O Desafio – Making Of,Entre nos bastidores e veja como o reality show inspirado em Round 6 passou de um drama roteirizado para uma competição cruel e inquietante.,7.551,2023-12-06,Documentário,30
Donnie Brasco,"Nos anos 70, policial usa o nome de Donnie Brasco para infiltrar-se entre mafiosos. Um criminoso mais velho o toma sob sua tutela, ensinando-lhe os caminhos do crime. Mas ele coloca sua vida pessoal em xeque, pondo em risco sua missão.",7.535,1997-02-27,"Crime, Drama, Thriller",125
Shine - Brilhante,"Numa noite de inverno David entre num bar. Embora claramente excêntrico, ele é um excelente pianista, despertando desde logo a atenção e a simpatia de todos. A sua vida sempre foi caracterizada pelo domínio avassalador do seu pai que sempre pretendeu transformá-lo num grande pianista apesar do seu excessivo protecionismo. Desafiando a autoridade do seu pai, aceita um convite para ir estudar para Londres. Apesar de toda a sua genialidade David tem bastantes dificuldades de adaptação o que transforma sua vida num caos.",7.385,1996-08-15,Drama,105
As Duas Faces de um Crime,"Em Chicago, um arcebispo (Stanley Anderson) assassinado com 78 facadas. O crime choca a opinião pública e tudo indica que o assassino um jovem de 19 anos (Edward Norton), que foi preso com as roupas cobertas de sangue da vítima. No entanto, um ex-promotor (Richard Gere) que se tornou um advogado bem-sucedido se propõe a defendê-lo, sem cobrar honorários, tendo um motivo para isto: adora ser coberto pela mídia, além de ter uma incrível necessidade de vencer.",7.657,1996-03-06,"Crime, Drama, Mistério, Thriller",131
Apollo 13: Sobrevivendo no Espaço,"Uma dramática recriação da missão espacial da NASA em abril de 1970, quando a agência enfrentou uma das maiores crises de sua história. Apenas nove meses após o histórico pouso de Neil Armstrong na Lua, três astronautas, a bordo da Apollo 13, ficaram presos no espaço após uma explosão danificar sua espaçonave, impedindo o pouso lunar.  O filme retrata a angustiante luta pela sobrevivência dos astronautas Jim Lovell, Jack Swigert e Fred Haise, que enfrentaram desafios extremos em um ambiente hostil e sem garantia de retorno.  Paralelamente, a equipe da NASA, liderada pelo diretor de voo Gene Kranz, trabalhou incessantemente em Houston, improvisando soluções e superando limites para trazer os astronautas de volta à Terra com segurança.  O sucesso dessa missão, apesar das adversidades, é lembrado como um dos momentos mais brilhantes da história da exploração espacial.",7.236,2024-03-08,"Documentário, História",98
O Mensageiro,"Após uma guerra devastadora, um exército comandado aterroriza a população em uma terra sem lei. Um homem encontra um veículo dos Correios e passa a entregar correspondências atrasadas, tornando-se o Mensageiro, o qual acaba levando esperança e motivação aos sobreviventes da guerra.",6.267,1997-12-25,"Ficção científica, Aventura, Ação",177
O Balconista,"Um dia surrealista na vida de Dante (Brian O'Halloran), balconista de loja de conveniência que vive às voltas com duas namoradas, um colega cínico e uma série de excêntricos clientes.",7.39,1994-10-19,Comédia,92
Gilbert Grape: Aprendiz de Sonhador,"Numa cidadezinha de interior idílica, vive Gilbert Grape (Johnny Depp), um adolescente aparentemente comum que sustenta a família desde a morte do pai. O peso não é para qualquer um: além das irmãs excêntricas e do irmão deficiente mental (Leonardo DiCaprio), inclui a mãe obesa, que não pára de comer desde a morte do marido. Mas a chegada de uma jovem forasteira (Juliette Lewis) dará a Gilbert a possibilidade de, pela primeira vez, fazer suas escolhas.",7.663,1993-12-17,"Romance, Drama",117
Short Cuts - Cenas da Vida,"O dia-a-dia de vários moradores de Los Angeles.  Nove histórias curtas, contos intercalados de desconexão e vazio emocional. As histórias dizem respeito a variações sobre o tema da angústia de Los Angeles - um casal felizmente casado, Ann e Howard têm que lidar com as emoções profundas sentidas quando seu filho, Casey é atropelado por um carro antes de seu aniversário e entra em coma, enquanto o o padeiro Andy do bolo de aniversário negligenciado de seu filho mergulha em fúria e os atormenta em sua dor. Três homens, Stuart, Gordon e Vern, partem em uma viagem de pescaria muito esperada, apenas para descobrir o corpo afogado de uma mulher nua flutuando no rio. Policial de Los Angeles, Gene usa seu distintivo como uma desculpa para trair sua esposa, Sherri. Um limpador de piscina Jerry se ressente de sua esposa, Lois, por seu emprego de meio período como atriz de sexo por telefone. Uma garçonete, Doreen é devotada a seu motorista de limusine ... (e 16 - Estimado 16 Anos)",7.218,1993-10-01,"Drama, Comédia",188
Filadélfia,"O advogado Andrew trabalha num conceituado escritório de advocacia. Quando descobre que é portador do vírus HIV, é despedido sumariamente. Ele então contrata os serviços de outro advogado para processar a companhia.",7.713,1993-12-22,Drama,126
Nu,"O filme é uma obra em movimento. David Thewlis interpreta um homem sem lar e sem perspectivas que estupra uma mulher e foge, invadindo e mudando os rumos das vidas de várias pessoas que encontra. Thewlis vira carrasco, bálsamo, incitador, vítima, dependendo de quem cruza seu caminho. Parece um anjo/demônio boêmio que vem para provocar reações. Sua rudeza com uma mulher de meia-idade que se exibe na janela contrasta com seus conselhos metafísicos para o vigilante que a olha. Nu despe o espectador de qualquer procura por coerência narrativa. O que importa aqui é investigar almas.",7.3,1993-09-14,"Drama, Comédia",131
O Conto de Natal dos Muppets,"Nesse filme de natal, os Muppets recontam a clássica história ""A Christmas Carol"". O protagonista do filme, Ebenezer Scrooge, não é interpretado por um muppet, mas sim por um ator de carne e osso: Michael Caine, mas os Muppets estão muito presentes na história. Caco, o Sapo, faz o papel de Bob Cratchit, o Urso Fozzie faz Fozziwig (que na história original é chamado de Fezziwig), Robin faz o Pequeno Tim e Gonzo faz o próprio Charles Dickens, que aparece como narrador da história.",7.406,1992-12-11,"Música, Comédia, Família, Fantasia, Drama",85
Malcolm X,"Filme biográfico que retrata a vida de Malcolm X, líder do movimento negro americano Nação do Islã: da infância difícil à juventude delinquente, passando pela prisão, onde aprendeu a cultivar o orgulho na sua raça, ao encontro com o Islão, à peregrinação a Meca e ao seu assassinato em 21 de fevereiro de 1965, em Nova Iorque, no meio de uma reunião.",7.535,1992-11-18,"Drama, História",202
O Último dos Moicanos,"No período colonial, durante a guerra entre Inglaterra e França, o homem criado por índios Hawkeye luta pela justiça e segue os valores moicanos. Ele se apaixona por Cora Munro, a filha de um oficial britânico e deve enfrentar o desacordo deste.",7.4,1992-08-26,"Ação, História, Romance, Guerra",115
Porco Rosso: O Último Herói Romântico,"Na Itália, durante o período entre as duas guerras, com um fundo de recessão económica e de ascensão do fascismo, perdido numa ilha deserta no mar Adriático, um ex-piloto emérito da Força Aérea Italiana, se vê transformado em um porco e converte-se em caçador de recompensas. Ele se chama ""Porco Rosso"". A bordo de seu hidroavião vermelho, ele tem muitas aventuras: de caça aos piratas do ar que fizeram um hábito de roubar os turistas que visitam a região, o resgate de passageiros tomados como reféns, duelos aéreos, ""corridas"" de hidroavião, subterfúgios para semear a polícia secreta italiana... a vida do piloto é agitada e cheia de aventuras.",7.797,1992-07-18,"Família, Comédia, Animação, Aventura",93
O Sucesso a Qualquer Preço,"Chicago. Em uma firma que trabalha com venda de imóveis os tempos estão difíceis para os corretores Shelley Levene (Jack Lemmon), Ricky Roma (Al Pacino), Dave Moss (Ed Harris) e George Aaronow (Alan Arkin). Eles são fortemente pressionados por Blake (Alec Baldwin), que agora chefia as vendas e promete um Cadillac Eldorado para o melhor vendedor, para o 2º colocado o prêmio será um conjunto de seis facas para churrasco e o 3º prêmio é o olho da rua, pois não lá há lugar para fracassados. Quem tiver desempenho mais satisfatório vai receber as boas dicas para conseguir ir bem nas vendas, mas o roubo delas deixa a situação tensa.",7.345,1992-09-10,"Crime, Drama, Mistério",100
Questão de Honra,"Após um soldado morrer acidentalmente em uma base militar, depois de ter sido atacado por dois colegas da corporação, surge a forte suspeita de ter existido um ""alerta vermelho"", uma espécie de punição extra-oficial na qual um oficial ordena a subordinados seus que castiguem um soldado que não tenha se comportado corretamente. Quando o caso chega aos tribunais, um jovem advogado (Tom Cruise) resolve não fazer nenhum tipo de acordo e tentar descobrir a verdade.",7.545,1992-12-11,Drama,138
Uma Noite Sobre a Terra,"Cinco taxistas pelo mundo têm encontros marcantes ao longo de uma noite agitada. Em Los Angeles, uma caça-talentos decide que sua taxista deveria estrelar seu próximo filme. Em Roma, um motorista descrente encontra um bispo morto no banco de trás. Em Paris, uma bela jovem cega distrai seu taxista.",7.525,1991-12-12,"Comédia, Drama",128
Tomates Verdes Fritos,"Evelyn Couch visita com o marido um parente no asilo de idosos. Uma vez lá, ela encontra Ninny Threadgoode, uma mulher idosa, que a ilumina e traz uma nova perspectiva através de contos do seu passado. Evelyn ganha a confiança necessária para mudar sua própria vida para melhor.",7.702,1991-12-27,"Drama, Comédia",130
A Dupla Vida de Véronique,"Weronika vive na Polónia. Véronique vive em Paris. Não se conhecem e não tem nenhuma relação. No entanto, são idênticas: ambas são esquerdinas, gostam de andar descalças, têm o mesmo brilho no olhar, uma voz sublime, um sentido musical absoluto e, acima de tudo, partilham o mesmo problema cardíaco dificilmente detectável. Sem o saber, uma irá beneficiar das experiências e sabedoria da outra. Como se cada vez que a primeira se magoasse com um qualquer objecto a segunda evitasse tocar no mesmo. Em França, Véronique descobre o amor na figura de um escritor e criador de teatro de marionetas...",7.488,1991-05-15,Drama,98
Ajuste Final,Um gângster inglês e seu braço direito lutam contra os rivais pela disputa do controle do lado leste da cidade. A vida do gângster começa a desmoronar quando ele descobre que sua mulher está envolvida com seu grande rival.,7.456,1990-09-21,"Drama, Thriller, Crime",115
Esqueceram de Mim,"Uma família de Chicago planeja passar o Natal em Paris. Porém, em meio às confusões da viagem, um dos filhos, Kevin, acaba esquecido em casa. O garoto de apenas oito anos é obrigado a se virar sozinho e defender a casa de dois insistentes ladrões.",7.444,1990-11-16,"Comédia, Família",103
Harry & Sally: Feitos um para o Outro,"Harry e Sally vão morar em Nova York, se veem esporadicamente e constroem uma grande amizade ao longo dos anos. Mas, aos poucos, percebem com certo temor que estão apaixonados um pelo outro.",7.404,1989-07-21,"Comédia, Romance, Drama",96
Uma Cilada para Roger Rabbit,"O detetive de carne e osso Eddie Valiant é contratado para descobrir o que está acontecendo com o coelho Roger Rabbit e sua mulher Jessica, suspeita de infidelidade. Quando Marvin Acme é encontrado morto, Roger é o principal suspeito do crime no mundo real. Para piorar a situação, um vilão quer acabar de uma vez por todas com Roger, Jessica e todos os desenhos animados.",7.527,1988-06-22,"Fantasia, Animação, Comédia, Crime",103
O Silêncio do Lago,"Jeff (Kiefer Sutherland) e Diane (Sandra Bullock) são um casal de namorados que decidem passar as férias juntos, mas repentinamente ela desaparece em um posto de gasolina. Jeff a procura por três anos, a ponto de ficar obcecado. Após este período Rita (Nancy Travis), a atual namorada de Jeff, decide ajudá-lo a descobrir o que aconteceu, pois deste jeito a relação deles está ficando insustentável. É quando surgem indícios do paradeiro de Diane.",6.109,1993-02-05,"Thriller, Drama, Mistério, Terror",109
O Último Imperador,"A saga de Pu Yi, o último imperador da China, que foi declarado imperador com apenas três anos e viveu enclausurado na Cidade Proibida até ser deposto pelo governo revolucionário, enfrentando então o mundo pela primeira vez quando tinha 24 anos. Neste período se tornou um playboy, mas logo teria um papel político quando se tornou um pseudo-imperador da Manchúria, quando esta foi invadida pelo Japão. Aprisionado pelos soviéticos, foi devolvido à China como prisioneiro político em 1950. É exatamente neste período que o filme começa, mas logo retorna a 1908, o ano em que se tornou imperador.",7.61,1987-10-04,"Drama, História",163
Uma Noite Alucinante 2,"Ash leva sua namorada Linda até uma casa abandonada, onde encontra uma fita de áudio abandonada por um professor. Ash coloca a fita para tocar, ouvindo citações do livro dos mortos. Os encantamentos despertam as forças do mal na floresta ao lado, que transformam Linda em um monstruoso Deadite. O objetivo é fazer o mesmo com Ash, mas ele recebe a ajuda da filha do professor, de um mecânico que trabalhava com ele e sua namorada.",7.547,1987-03-13,"Terror, Comédia, Fantasia",84
Império do Sol,"Jim Graham (Christian Bale) é um garoto de 11 anos de uma família inglesa que vive no Oriente. Jim tem um padrão de vida alto, mas de repente é separado de seus pais em virtude da China ser invadida pelo Japão. Isto o força a se defender e o obriga a crescer, tornando-se então um sobrevivente em um campo de concentração com rígidas regras.",7.508,1987-12-09,"Drama, História, Guerra",152
O Nome da Rosa,"Em 1327, William de Baskerville, um monge franciscano, e Adso von Melk, um noviço que o acompanha, chegam a um remoto mosteiro no norte da Itália. William de Baskerville pretende participar de um conclave para decidir se a Igreja deve doar parte de suas riquezas, mas a atenção é desviada por vários assassinatos que acontecem no mosteiro. William de Baskerville começa a investigar o caso, que se mostra bastante intrincando, além dos mais religiosos acreditarem que é obra do Demônio. William de Baskerville não partilha desta opinião, mas antes que ele conclua as investigações Bernardo Gui (F. Murray Abraham), o Grão-Inquisidor, chega no local e está pronto para torturar qualquer suspeito de heresia que tenha cometido assassinatos em nome do Diabo. Considerando que ele não gosta de Baskerville, ele é inclinado a colocá-lo no topo da lista dos que são diabolicamente influenciados.",7.496,1986-09-24,"Drama, Thriller, Mistério",131
Daunbailó,"Um DJ desempregado, um cafetão amador e um turista italiano desafortunado se encontram na mesma cela prisional por crimes que não cometeram. Juntos, os três planejam sua fuga e logo vão parar nas florestas de Louisiana, sem refúgio à vista.",7.344,1986-09-20,"Crime, Drama, Comédia",107
Veludo Azul,"Jeffrey Beaumont (Kyle MacLachlan), um rapaz simplório que acaba de voltar à cidade, envolve-se em uma perigosa investigação sobre os negócios de um traficante de drogas (Dennis Hopper) que mantém uma sádica relação com a bela cantora de cabaré Dorothy Vallens (Isabella Rossellini).",7.613,1986-09-19,"Mistério, Thriller, Crime, Drama",120
A Rosa Púrpura do Cairo,"Em área pobre de Nova Jersey, durante a Depressão, uma garçonete (Mia Farrow) que sustenta o marido bêbado e desempregado, que só sabe ser violento e grosseiro, foge da sua triste realidade assistindo filmes. Mas ao ver pela quinta vez ""A Rosa Púrpura do Cairo"" acontece o impossível! Quando o herói da fita sai da tela para declarar seu amor por ela, isto provoca um tumulto nos outros atores do filme e logo o ator que encarna o herói viaja para lá, tentando contornar a situação. Assim, ela se divide entre o ator e o personagem.",7.4,1985-03-01,"Fantasia, Comédia, Romance",82
Os Goonies,"Após encontrar um mapa do tesouro no sótão de sua casa, Mickey, Brand, Bocão (Mouth), Dado (Data) e Gordo (Chunk) partem em busca do tesouro de Willy Caolho. Juntam-se a eles nessa aventura Andy e Stef mas, além das armadilhas deixadas por Willy Caolho por entre as cavernas e trilhas subterrâneas, os garotos terão de enfrentar também uma família de bandidos italianos, os Fratelli. Para salvá-los resta somente o valente e destemido Sloth.",7.513,1985-06-07,"Aventura, Comédia, Família",114
A Cor Púrpura,"A Cor Púrpura é o filme musical baseado no romance homônimo de Alice Walker. A história é contada a partir das cartas escirtas por uma jovem à Deus. Celie (Fantasia Barrino) é uma mulher afro-americana que vive no sul dos Estados Unidos no começo do século XX. Ela tenta superar os traumas deixados pelo abusos do pai e do marido ao longo dos anos e, para isso, contará com o apoio e a força de um grupo de mulheres que constrói uma irmandade.",7.1,2023-12-25,Drama,141
Zelig,"Um pseudo-documentário sobre a vida de Leonard Zelig (Woody Allen), o homem-camaleão, que tinha o dom de modificar a aparência para agradar as outras pessoas.",7.431,1983-07-15,Comédia,79
